episode,steps,global_step_end,episode_time_s,elapsed_run_time_s,total_reward,total_reward_raw,total_reward_benefit,total_reward_chemical_cost,total_reward_ph_cost,total_stage1_vfa_produced_kgCOD,total_stage2_vfa_removed_kgCOD,total_stage2_ch4_m3,total_chemical_kmol,total_ph_violation_pH_d,final_stage1_pH,final_stage2_pH,mean_stage1_pH,mean_stage2_pH
46,56,2632,5.0889198780059814,325.6799085140228,84.71518272881934,8471.518272881935,10110.380642160784,19.604625,1619.2577442788495,4932.46203994083,4901.569827090194,2763.4877512975877,653.4875000000001,3.238515488557699,5.293151934352145,9.027836113940175,6.6525340202008945,7.186736896379957
47,56,2688,5.101419925689697,331.81461811065674,75.64384162026164,7564.384162026163,9695.804820140529,16.35375,2115.066908114365,4737.2954931908735,4676.174131950378,2823.3519499927615,545.125,4.230133816228729,5.856639631821491,8.766896012229386,6.833393460571863,7.53143659983131
48,56,2744,5.274256229400635,338.5479567050934,91.63613408087656,9163.613408087656,10757.399938813585,17.2467,1576.539830725932,5226.744018995672,5200.87010685654,3297.858129613759,574.89,3.1530796614518644,5.360369091582443,7.0706557286682346,6.7145133788717954,7.113461559199834
49,56,2800,5.1121556758880615,344.55702352523804,71.28447145529643,7128.447145529642,10766.714254374765,22.64235,3615.6247588451233,5365.587293688236,5190.01732835896,2111.096323275687,754.7450000000001,7.231249517690247,5.201217655066667,9.555160893200243,6.581732731419515,8.002104164101972
50,56,2856,4.695084810256958,350.24076771736145,90.31203689286181,9031.20368928618,10555.431545985357,29.07165,1495.1562066991778,5151.356235094022,5113.56152256976,2905.1378832157625,969.0550000000001,2.990312413398356,5.097112222427995,9.056908248874173,6.526952441707343,7.43047776477503
51,56,2912,4.962594032287598,356.31878638267517,81.03903923035341,8103.903923035339,10755.481058532136,28.22535,2623.3517854967968,5305.136639518805,5199.0868252171895,2512.575937961412,940.845,5.246703570993593,5.146978889305532,9.576380044464031,6.557047267924604,7.993821895032887
52,56,2968,4.886449337005615,362.15262389183044,87.00536823178703,8700.536823178703,11021.232459019662,29.973674999999993,2290.721960840958,5424.477870193936,5337.34303090219,2594.1155792353607,999.1225,4.581443921681917,5.198946596032351,8.95935213313201,6.476984360237812,7.281997316686344
53,56,3024,5.484627723693848,368.6499807834625,77.01953572861134,7701.953572861135,11010.53968231045,24.663600000000002,3283.9225094493163,5470.771320363983,5320.782704327015,2189.8565761945274,822.12,6.567845018898633,5.101181381176199,9.983886285863479,6.353628622913647,7.92121381148266
54,56,3080,5.188431262969971,375.1471588611603,91.5378518274957,9153.78518274957,10805.029421758896,24.192899999999998,1627.0513390093242,5283.411719036865,5230.009218076359,2916.0848464567084,806.4300000000001,3.254102678018648,5.235237556085317,8.549741823383245,6.576850333939575,7.679098475921821
55,56,3136,5.113224029541016,382.04197239875793,77.1129496730463,7711.29496730463,9313.535826509593,14.2887,1587.952159204962,4531.034655810464,4488.557828477984,2939.4334222114394,476.28999999999996,3.1759043184099243,6.078306341526514,7.395868495933807,6.796816681107488,7.63639142106967
