target,time,prbs_segment,stage1_pH_sp,stage2_pH_sp,stage1_pH,stage2_pH,stage1_q_NaOH_m3_d,stage1_u_NaOH_kmol_d,stage1_q_HCl_m3_d,stage1_u_HCl_kmol_d,stage2_q_NaOH_m3_d,stage2_u_NaOH_kmol_d,stage2_q_HCl_m3_d,stage2_u_HCl_kmol_d
stage1,14.42708333,8,7.0,7.0,6.956191952192517,7.0107992018516185,1.216233113947167,30.405827848679174,0.0,0.0,0.0,0.0,2.952390353355124,33.36201099291291
stage1,14.4375,8,7.0,7.0,6.956260594520501,7.010796064088742,1.218161128791844,30.454028219796097,0.0,0.0,0.0,0.0,2.954337459275754,33.384013289816025
stage1,14.44791667,8,7.0,7.0,6.956354510887147,7.010791205041073,1.218161128791844,30.454028219796097,0.0,0.0,0.0,0.0,2.954337459275754,33.384013289816025
stage1,14.45833333,8,7.0,7.0,6.95644253211898,7.010787023011606,1.218161128791844,30.454028219796097,0.0,0.0,0.0,0.0,2.954337459275754,33.384013289816025
stage1,14.46875,8,7.0,7.0,6.956528494426382,7.010783073921251,1.218161128791844,30.454028219796097,0.0,0.0,0.0,0.0,2.954337459275754,33.384013289816025
stage1,14.47916667,8,7.0,7.0,6.956610104361332,7.010779590412287,1.2184508724338547,30.46127181084637,0.0,0.0,0.0,0.0,2.955765242530913,33.40014724059932
stage1,14.48958333,8,7.0,7.0,6.956693538502895,7.010774856842998,1.2184508724338547,30.46127181084637,0.0,0.0,0.0,0.0,2.955765242530913,33.40014724059932
stage1,14.5,8,7.0,7.0,6.95677271052244,7.0107707703163635,1.2184508724338547,30.46127181084637,0.0,0.0,0.0,0.0,2.955765242530913,33.40014724059932
stage1,14.51041667,8,7.0,7.0,6.956849316878703,7.0107669132735575,1.2184508724338547,30.46127181084637,0.0,0.0,0.0,0.0,2.955765242530913,33.40014724059932
stage1,14.52083333,8,7.0,7.0,6.95692221607311,7.0107635097019845,1.2184508724338547,30.46127181084637,0.0,0.0,0.0,0.0,2.955765242530913,33.40014724059932
stage1,14.53125,8,7.0,7.0,6.956992349392249,7.010760398723185,1.2200289036556728,30.50072259139182,0.0,0.0,0.0,0.0,2.9577146761231727,33.422175840191855
stage1,14.54166667,8,7.0,7.0,6.957082563831068,7.010755560922065,1.2200289036556728,30.50072259139182,0.0,0.0,0.0,0.0,2.9577146761231727,33.422175840191855
stage1,14.55208333,8,7.0,7.0,6.957167538318508,7.010751399089928,1.2200289036556728,30.50072259139182,0.0,0.0,0.0,0.0,2.9577146761231727,33.422175840191855
stage1,14.5625,8,7.0,7.0,6.957250267422022,7.010747469015532,1.2200289036556728,30.50072259139182,0.0,0.0,0.0,0.0,2.9577146761231727,33.422175840191855
stage1,14.57291667,8,7.0,7.0,6.957328968435753,7.010744002343122,1.2204842536071543,30.512106340178857,0.0,0.0,0.0,0.0,2.959140565929009,33.438288394997805
stage1,14.58333333,8,7.0,7.0,6.957411907202267,7.010739287071544,1.2204842536071543,30.512106340178857,0.0,0.0,0.0,0.0,2.959140565929009,33.438288394997805
stage1,14.59375,8,7.0,7.0,6.957490547704751,7.010735216621579,1.2204842536071543,30.512106340178857,0.0,0.0,0.0,0.0,2.959140565929009,33.438288394997805
stage1,14.60416667,8,7.0,7.0,6.957566741801268,7.010731376064129,1.2204842536071543,30.512106340178857,0.0,0.0,0.0,0.0,2.959140565929009,33.438288394997805
